No,coin,old_value,new_value
0,BTC,3114148.89234907,3114148.89234907
1,ETH,232197.77790474,232197.77790474
2,BNB,74.4345381,74.43453810
3,USDT,32335.52070517,32335.52070517
4,SOL,10452.74635474,10452.74635474
5,USDC,74.4865049,74.48650490
6,XRP,87.04723455,87.04723455
7,ADA,55.73991464,55.73991464
8,HEX,19.42668643,19.42668643
9,LUNA,1834.42036305,1834.42036305
10,DOT,5430.6223488,5430.62234880
11,AVAX,6359.47415351,6359.47415351
12,DOGE,11.25028012,11.25028012
13,SHIB,0.0021103586,0.0021103586
14,MATIC,150.63428366,150.63428366
15,BUSD,74.44057404,74.44057404
16,CRO,2022.72906197,2022.72906197
17,WBTC,34.02247361,34.02247361
18,LTC,3111503.88217013,3111503.88217013
19,FTXTOKEN,74.50423644,74.50423644
20,UST,2646.6319933,2646.63199330
21,DAI,105.06128935,105.06128935
22,ALGO,2710.69278893,2710.69278893
23,OKB,9711.12815994,9711.12815994
24,LINK,74.4462597,74.44625970
25,BCH,1006.34278545,1006.34278545
26,TRX,1179.08160137,1179.08160137
27,XLM,27869.49561424,27869.49561424
28,UNI,2634.64079956,2634.64079956
29,AXS2,4.89879348,4.89879348
30,ATOM,19.24739829,19.24739829
31,STETH,1796.78764059,1796.78764059
32,CETH,172.21501982,172.21501982
33,HBAR,231720.49835016,231720.49835016
34,VET,5.72948572,5.72948572
35,NEAR,20.11864098,20.11864098
36,FIL,5257.46894368,5257.46894368
37,EGLD,4657.49345707,4657.49345707
38,ETC,2239.05581867,2239.05581867
39,SAND2,356.00511993,356.00511993
40,CDAI,303.97653421,303.97653421
41,MANA,14484.71699608,14484.71699608
42,ICP,221.81052626,221.81052626
43,THETA,2209.76364408,2209.76364408
44,CUSDC,316.3363454,316.33634540
45,XTZ,2438.13345511,2438.13345511
46,FTM,284.18159932,284.18159932
47,1INCH,101.69926308,101.69926308
48,LEO,22.64748021,22.64748021
49,HELIUM,14319.80038691,14319.80038691
50,XMR,1.62365739,1.62365739
51,GALA,159.68838201,159.68838201
52,GRT,43.28805771,43.28805771
53,KLAY,1.67211322,1.67211322
54,EOS,78.66843977,78.66843977
55,CAKE,16048.78264243,16048.78264243
56,IOT,208.09153854,208.09153854
57,AR,774.97835745,774.97835745
58,FLOW2,151.24933382,151.24933382
59,BLOCKSTACK,580.3660103,580.36601030
60,HARMONY,3636.19941661,3636.19941661
61,LRC,23.83018884,23.83018884
62,BITTORRENT,12742.66517287,12742.66517287
63,KSM,0.18307281,0.18307281
64,AAVE,18204.02077638,18204.02077638
65,QNT,171.14919305,171.14919305
66,BSV,345.0931171,345.09311710
67,AMP2,8077.20129067,8077.20129067
68,ENJ,3.18671001,3.18671001
69,MKR,115.5898603,115.58986030
70,XEC,74.44600352,74.44600352
71,ZEC,156637.36685608,156637.36685608
72,RUNE,457.38442327,457.38442327
73,NEO,349.40978947,349.40978947
74,CRV,1758.39253088,1758.39253088
75,KDA,10245.63185448,10245.63185448
76,BAT,514.94238396,514.94238396
77,KCS,164333.89312624,164333.89312624
78,CEL,76.90160758,76.90160758
79,HT,10888.42873402,10888.42873402
80,WAVES,650.76703141,650.76703141
81,FRAX,1391.65326238,1391.65326238
82,TIME5,662.79341279,662.79341279
83,OMI,1042.89178333,1042.89178333
84,CELO,19.37238749,19.37238749
85,CHZ,74.46304723,74.46304723
86,TUSD,2698.1341084,2698.13410840
87,LN,233.51334623,233.51334623
88,DASH,2600752.64142823,2600752.64142823
89,HOT,0.38472109,0.38472109
90,HBTC,14603.61242162,14603.61242162
91,YFI,24.49128122,24.49128122
92,SUSHI,152.24387222,152.24387222
93,NEXO,240.20926329,240.20926329
94,COMP,3126748.73876752,3126748.73876752
95,PAX,0.44723589,0.44723589
96,XEM,7.52866653,7.52866653
97,IOTX,74.61407668,74.61407668
98,DCR,0.0001378242,0.00013782420
99,XDCE,8.57409083,8.57409083
